Source,Target,Weight,Type
9,149,113.533,directed
9,61,324.381,directed
9,130,160.028,directed
9,125,671.468,directed
9,90,6577241.32,directed
9,76,457958.349,directed
9,71,4492358.629,directed
9,29,6015347.106,directed
9,147,309912.131,directed
9,35,5946.977,directed
9,129,977.467,directed
9,53,1615744.024,directed
9,128,30195.507,directed
9,82,2059.817,directed
9,113,1222.915,directed
9,127,1080.187,directed
9,135,75.689,directed
9,68,4490.509,directed
9,36,818.52,directed
9,33,553.61,directed
85,9,1659.747,directed
128,9,8366714.935,directed
90,9,6015628.236,directed
64,9,337756.96,directed
49,9,2046847.985,directed
76,9,487784.062,directed
133,5,225.614,directed
100,5,371.535,directed
71,5,6640.791,directed
42,5,6472.202,directed
147,5,958.284,directed
133,5,1281.417,directed
71,5,6640.791,directed
42,5,6472.202,directed
147,5,958.284,directed
133,5,1507.03,directed
100,5,371.535,directed
42,5,6472.202,directed
71,5,6640.791,directed
147,5,958.284,directed
133,5,1281.417,directed
100,5,371.535,directed
133,5,225.614,directed
42,5,6472.202,directed
71,5,6640.791,directed
147,5,958.284,directed
26,12,274.63,directed
147,12,1217.279,directed
19,100,258.771,directed
19,100,258.771,directed
19,100,258.771,directed
19,100,258.771,directed
19,133,46.409,directed
19,133,2408.648,directed
19,133,2455.057,directed
19,133,2408.648,directed
19,133,46.409,directed
19,133,2455.057,directed
53,19,6208.755,directed
29,19,7680.379,directed
29,19,7680.379,directed
53,19,6208.755,directed
133,19,1533510.589,directed
133,19,1533510.589,directed
76,21,4.467,directed
76,21,4.467,directed
90,21,2955.893,directed
90,21,2952.17,directed
90,21,3.723,directed
15,96,34.601,directed
15,124,901.973,directed
15,90,407422.016,directed
15,92,1952.393,directed
15,128,35645.35,directed
15,8,16219.029,directed
15,32,227.012,directed
15,76,321317.687,directed
15,71,1866355.231,directed
15,68,5252.219,directed
15,146,4.206,directed
15,129,1060.151,directed
15,26,132132.107,directed
15,29,1148492.442,directed
15,61,194679.463,directed
15,67,6952.741,directed
15,116,166.526,directed
15,62,7371.235,directed
15,39,5387.572,directed
15,9,84977.377,directed
15,112,1023.442,directed
15,135,17506.117,directed
15,123,9.731,directed
15,147,133232.233,directed
15,85,7323.897,directed
15,69,4833.563,directed
15,55,8.11,directed
15,53,87294.178,directed
15,101,156836.662,directed
15,49,57.069,directed
15,2,11.548,directed
15,142,1.081,directed
76,15,1820535.144,directed
62,15,204044.071,directed
20,15,295.911,directed
49,15,135700.066,directed
8,15,100.125,directed
68,15,2216.601,directed
90,15,830950.101,directed
133,5,1507.03,directed
100,5,371.535,directed
114,5,413.628,directed
114,5,413.628,directed
114,5,413.628,directed
114,5,413.628,directed
7,101,22586.67,directed
7,71,11833.35,directed
7,145,385.6,directed
71,9,95590867.174,directed
138,9,58989.691,directed
147,9,3561098.73,directed
135,9,13368.805,directed
38,9,72007.084,directed
113,9,12807.627,directed
101,9,624294.226,directed
29,9,52583177.503,directed
69,9,2121908.572,directed
53,9,56676328.514,directed
68,9,8533.372,directed
140,9,201.116,directed
129,9,231.391,directed
75,9,5152.245,directed
132,9,18807.586,directed
114,9,977.467,directed
39,9,2865.362,directed
117,9,10.813,directed
125,9,1.081,directed
22,101,267.003,directed
22,101,267.003,directed
22,101,267.003,directed
22,101,267.003,directed
22,116,81572.536,directed
22,116,81572.536,directed
22,116,81572.536,directed
22,116,81572.536,directed
29,22,5657.373,directed
29,22,5657.373,directed
9,22,202.878,directed
9,22,202.878,directed
113,22,324.495,directed
69,22,4404.725,directed
9,22,202.878,directed
29,22,5657.373,directed
69,22,4404.725,directed
113,22,324.495,directed
128,15,7488.001,directed
145,15,1.979,directed
67,15,14006.894,directed
26,15,65378.907,directed
9,15,349.877,directed
71,15,3610589.444,directed
29,15,1750218.85,directed
135,15,9143.748,directed
69,15,590527.537,directed
142,15,305.567,directed
53,15,1768532.859,directed
101,15,373196.999,directed
147,15,129458.908,directed
22,101,267.003,directed
22,101,267.003,directed
22,101,267.003,directed
22,101,267.003,directed
22,116,81572.536,directed
22,116,81572.536,directed
22,116,81572.536,directed
22,116,81572.536,directed
113,22,324.495,directed
69,22,4404.725,directed
113,22,324.495,directed
69,22,4404.725,directed
9,22,202.878,directed
29,22,5657.373,directed
76,22,45967.679,directed
76,22,45967.679,directed
53,22,210852.419,directed
53,22,210852.419,directed
53,22,210852.419,directed
29,10,2092.08,directed
29,10,2092.08,directed
142,10,1668.51,directed
15,10,550.0,directed
53,19,6208.755,directed
29,19,7680.379,directed
29,19,7680.379,directed
53,19,6208.755,directed
133,19,1533510.589,directed
133,19,1533510.589,directed
113,6,704.29,directed
113,6,704.29,directed
20,29,590136.0,directed
7,145,385.6,directed
7,71,11833.35,directed
7,101,22586.67,directed
7,53,6889.65,directed
7,53,6889.65,directed
7,101,22586.67,directed
7,71,11833.35,directed
7,145,385.6,directed
7,53,6889.65,directed
7,53,6889.65,directed
7,145,385.6,directed
7,71,11833.35,directed
7,101,22586.67,directed
29,10,2092.08,directed
15,10,550.0,directed
15,10,550.0,directed
29,10,2092.08,directed
29,10,2092.08,directed
15,10,550.0,directed
20,29,590136.0,directed
8,61,3426.807,directed
8,61,3426.807,directed
8,76,13287.35,directed
53,22,210852.419,directed
76,22,45967.679,directed
76,22,45967.679,directed
142,10,1668.51,directed
142,10,1668.51,directed
142,10,1668.51,directed
142,10,1668.51,directed
15,10,550.0,directed
29,10,2092.08,directed
20,128,2606.0,directed
20,128,2606.0,directed
29,20,104896.0,directed
128,20,1211936.0,directed
71,20,3486457.0,directed
76,20,1092054.0,directed
53,20,198620.0,directed
15,20,10370.0,directed
138,20,127.0,directed
101,20,1487.0,directed
135,20,5688.0,directed
147,20,6440.0,directed
14,20,591.0,directed
103,8,3531.93,directed
29,10,2092.08,directed
142,10,1668.51,directed
15,10,550.0,directed
15,10,550.0,directed
142,10,1668.51,directed
29,10,2092.08,directed
15,10,550.0,directed
142,10,1668.51,directed
20,2,29.0,directed
20,2,29.0,directed
90,8,117111.391,directed
39,8,17889.928,directed
101,8,42438.094,directed
71,8,898355.724,directed
15,8,27982.859,directed
8,8,43630.262,directed
135,8,20948.171,directed
76,8,5996.003,directed
140,8,20647.02,directed
113,8,6005.444,directed
145,8,12593.052,directed
138,8,50713.416,directed
142,8,2242.705,directed
90,8,117111.391,directed
147,8,127572.847,directed
8,26,111.614,directed
8,135,2707.962,directed
8,112,3321.837,directed
8,71,3175507.819,directed
8,48,5388.685,directed
8,29,365987.423,directed
8,53,2491.378,directed
8,110,37047.124,directed
8,147,33651.542,directed
8,103,14312.469,directed
8,150,2657.47,directed
8,150,2657.47,directed
8,135,2707.962,directed
8,112,3321.837,directed
8,76,13287.35,directed
8,26,111.614,directed
8,71,3175507.819,directed
