Id,Label,Latitude,Longitude
1,Afghanistan,33.93911,67.709953
2,Algeria,28.033886,1.659626
3,American Samoa,-14.270972,-170.132217
4,Andorra,42.546245,1.601554
5,Angola,-11.202692,17.873887
6,Argentina,-38.416097,-63.616672
7,Armenia,40.069099,45.038189
8,Australia,-25.274398,133.775136
9,Austria,47.516231,14.550072
10,Azerbaijan,40.143105,47.576927
11,Bahamas,25.03428,-77.39628
12,Bahrain,25.930414,50.637772
13,Bangladesh,23.684994,90.356331
14,Belarus,53.709807,27.953389
15,Belgium,50.503887,4.469936
16,Benin,9.30769,2.315834
17,Bolivia,-16.290154,-63.588653
18,Bosnia and Herzegovina,43.915886,17.679076
19,Botswana,-22.328474,24.684866
20,Brazil,-14.235004,-51.92528
21,Brunei Darussalam,4.535277,114.727669
22,Bulgaria,42.733883,25.48583
23,Burkina Faso,12.238333,-1.561593
24,Cambodia,12.565679,104.990963
25,Cameroon,7.369722,12.354722
26,Canada,56.130366,-106.346771
27,Cape Verde,16.002082,-24.013197
28,Chile,-35.675147,-71.542969
29,China,35.86166,104.195397
30,Colombia,4.570868,-74.297333
31,Congo (Brazzaville),-0.228021,15.827659
32,"Congo, Democratic Republic of the",-4.038333,21.758664
33,Costa Rica,9.748917,-83.753428
34,Cote d'Ivoire,7.539989,-5.54708
35,Croatia,45.1,15.2
36,Cuba,21.521757,-77.781167
37,Cyprus,35.126413,33.429859
38,Czech Republic,49.817492,15.472962
39,Denmark,56.26392,9.501785
40,Dominica,15.414999,-61.370976
41,Ecuador,-1.831239,-78.183406
42,Egypt,26.820553,30.802498
43,Equatorial Guinea,1.650801,10.267895
44,Eritrea,15.179384,39.782334
45,Estonia,58.595272,25.013607
46,Ethiopia,9.145,40.489673
47,Faroe Islands,61.892635,-6.911806
48,Fiji,-16.578193,179.414413
49,Finland,61.92411,25.748151
50,French Southern Territories,-49.280366,69.348557
51,Gabon,-0.803689,11.609444
52,Georgia,42.315407,43.356892
53,Germany,51.165691,10.451526
54,Ghana,7.946527,-1.023194
55,Gibraltar,36.137741,-5.345374
56,Greece,39.074208,21.824312
57,Greenland,71.706936,-42.604303
58,Guam,13.444304,144.793731
59,Guatemala,15.783471,-90.230759
60,Guinea,9.945587,-9.696645
61,"Hong Kong, Special Administrative Region of China",22.396428,114.109497
62,Hungary,47.162494,19.503304
63,Iceland,64.963051,-19.020835
64,Indonesia,-0.789275,113.921327
65,"Iran, Islamic Republic of",32.427908,53.688046
66,Iraq,33.223191,43.679291
67,Ireland,53.41291,-8.24389
68,Israel,31.0461,34.8516
69,Italy,41.87194,12.56738
70,Jamaica,18.109581,-77.297508
71,Japan,36.204824,138.252924
72,Jordan,30.585164,36.238414
73,Kazakhstan,48.019573,66.923684
74,Kenya,-0.023559,37.906193
75,"Korea, Democratic People's Republic of",,
76,"Korea, Republic of",35.907757,127.766922
77,Kuwait,29.31166,47.481766
78,Kyrgyzstan,41.20438,74.766098
79,Lao PDR,19.85627,102.495496
80,Latvia,56.879635,24.603189
81,Lesotho,-29.609988,28.233608
82,Liberia,6.428055,-9.429499
83,Libya,26.3351,17.228331
84,Lithuania,55.169438,23.881275
85,Luxembourg,49.815273,6.129583
